gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sign_log_p
ENSG00000152583	997.439773207048	4.60252604913626	0.211770756979948	21.73352976007	9.88999140641441e-105	1.83904390202276e-100	345.496480695771
ENSG00000148175	11193.718773887	1.45146597545841	0.0848248918354636	17.1113212649165	1.22195864648774e-65	1.13611605157197e-61	215.636130705367
ENSG00000179094	776.596665468835	3.18385763641243	0.201515441179073	15.7995715751785	3.13238098842899e-56	1.9415541493279e-52	184.380713616808
ENSG00000134686	2737.98198594824	1.3871410723363	0.0915842458397395	15.1460664398942	8.04391338668617e-52	3.73941423563573e-48	169.73236338672
ENSG00000125148	3656.252782247	2.20343889385753	0.147408663472957	14.9478249238843	1.60919813061604e-50	5.98460784776106e-47	165.410062777251
ENSG00000120129	3409.02937530956	2.9489838513207	0.201613621328684	14.6269078045728	1.89192276439189e-48	5.86338396731121e-45	158.532695361108
ENSG00000189221	2341.76725275591	3.305201087099	0.228111111588987	14.4894348375907	1.41300629523725e-47	3.75355029427667e-44	155.631852566513
ENSG00000109906	385.071028862516	7.17608169936743	0.496600487567392	14.4504121099833	2.49190404085827e-47	5.79211945496995e-44	154.813371946097
ENSG00000101347	12703.3870621821	3.8577240006005	0.279493478561148	13.8025546086454	2.4597880794858e-43	4.57397593380385e-40	141.544374053147
ENSG00000162614	5393.10168349223	2.02992697330941	0.151717730572249	13.379629168278	7.9543232407933e-41	1.34464218784138e-37	133.207312700075
ENSG00000096060	2564.36222687268	3.93840353594177	0.297068112432857	13.2575775423622	4.07858949253408e-40	5.83395166259009e-37	130.849053487405
ENSG00000162616	1467.63582703992	1.52093932286983	0.123387745659013	12.3265022368834	6.5216675629198e-35	8.35795269731144e-32	113.562242418388
ENSG00000166741	7432.9363516342	2.16219168861736	0.177550924515928	12.1778678117972	4.07803964397196e-34	4.73944669872867e-31	110.917679425832
ENSG00000183044	498.690421563468	1.15804241277522	0.0969897820143683	11.9398393183693	7.33647839651576e-33	8.02481269313003e-30	106.748539414136
ENSG00000198624	2057.19173059348	2.89490876194334	0.250748208655174	11.5450825250934	7.81664127049646e-31	7.65002339078324e-28	100.013222111892
ENSG00000164125	5596.34966690866	1.12453057941003	0.0980510761250782	11.4688244520185	1.89212133424143e-30	1.75919981051097e-27	98.7378382406625
ENSG00000135821	19611.1821813456	3.00413422360714	0.268904803359897	11.1717387940686	5.60723316329463e-29	4.73938639415744e-26	93.8486256896812
ENSG00000163884	561.107166129071	4.58215201731381	0.412489584914305	11.1085277905035	1.1402385933279e-28	9.21858114910098e-26	92.8246509189518
ENSG00000164647	1920.71012986285	1.55673287223228	0.141015935176902	11.0394110444284	2.46644485074891e-28	1.83454167998704e-25	91.7115536275476
ENSG00000077684	1570.63461014914	1.20685074082152	0.109674193102518	11.0039627981892	3.65699798441923e-28	2.61545682770291e-25	91.1433268253184
